points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime, avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
200,1,None,3,3.233481,0.022998,2.546630,0.013324,9,1,0.011807,0.011408,0.013729,0.012283,0.014326,0.016135,0.110064,0.013296,0.012606,0.014324,155,198,117,186,483,351,1000,228,571,140,1.47,1.88,1.14,1.77,4.51,3.32,9.42,2.15,5.35,1.33
200,2,None,3,4.369121,0.024107,2.867907,0.012268,9,1,0.010829,0.013188,0.013069,0.012999,0.014171,0.011072,0.011929,0.130652,0.012261,0.010897,253,118,139,103,80,242,116,1000,93,292,4.50,2.17,2.51,1.85,1.44,4.34,2.08,17.88,1.68,5.22
200,4,None,3,8.990548,0.023199,6.117957,0.012494,9,1,0.012225,0.013333,0.013252,0.011404,0.011400,0.013171,0.119545,0.013486,0.013798,0.010379,114,88,87,124,214,647,1000,113,79,114,3.96,3.07,3.05,4.31,7.54,22.49,34.84,3.94,2.74,3.97
200,8,None,3,30.602982,0.054724,5.283904,0.012172,6,4,0.010165,0.107273,0.012587,0.157292,0.013360,0.107089,0.102556,0.011843,0.012623,0.012456,69,1000,57,1000,75,1000,1000,100,74,86,4.73,68.45,3.88,68.53,5.12,68.70,68.65,6.90,5.14,5.93
200,16,None,3,87.802548,0.093506,15.254294,0.011919,4,6,0.109591,0.011402,0.111828,0.149810,0.013796,0.231207,0.144752,0.140192,0.010848,0.011631,1000,60,1000,1000,215,1000,1000,1000,91,83,135.84,8.09,135.76,136.03,29.35,136.62,136.38,136.38,12.25,11.32
200,32,None,3,203.184301,0.087174,41.629862,0.008184,3,7,0.109851,0.005856,0.106935,0.108023,0.011892,0.145234,0.006802,0.100133,0.174647,0.102364,1000,84,1000,1000,45,1000,333,1000,1000,1000,272.72,22.66,273.43,271.62,11.97,272.00,90.26,272.32,273.59,271.27
200,64,None,3,463.525727,0.148354,148.180899,0.010951,2,8,0.292875,0.166673,0.131991,0.260531,0.011993,0.009910,0.110104,0.200122,0.094882,0.204462,1000,1000,1000,1000,52,495,1000,1000,1000,1000,540.27,542.64,546.70,538.23,27.83,268.53,544.50,543.64,542.48,540.43
