neigbors,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
2,1.32,0.00,10,0,0.000362,0.000458,0.000249,0.000292,0.000197,0.000218,0.000277,0.000264,0.000289,0.000282,129,263,107,129,89,112,109,93,86,245,1.25,2.56,1.05,1.25,0.86,1.11,1.06,0.91,0.83,2.37
4,7.86,0.11,7,3,0.000231,0.000283,0.406729,0.000246,0.000203,0.000250,0.000248,0.000333,0.392601,0.288843,104,117,1000,116,64,110,640,68,1000,1000,1.95,2.19,18.52,2.18,1.18,2.04,11.95,1.26,18.71,18.65
8,28.32,0.25,3,7,0.300783,0.278871,0.378857,0.662677,0.257475,0.000233,0.000239,0.301654,0.000242,0.322653,1000,1000,1000,1000,1000,90,502,1000,91,1000,36.61,36.73,36.47,36.73,37.11,3.28,18.31,37.76,3.40,36.79
16,48.69,0.18,4,6,0.000189,0.000278,0.281775,0.308632,0.000278,0.000254,0.310289,0.308749,0.282866,0.276313,147,53,1000,1000,272,105,1000,1000,1000,1000,10.66,3.83,72.85,73.55,19.74,7.60,72.35,72.86,81.29,72.21
32,123.87,0.29,2,8,0.266252,0.251209,0.000202,0.292431,0.562739,0.443718,0.000220,0.451383,0.376616,0.255837,1000,1000,104,1000,1000,1000,58,1000,1000,1000,153.71,150.00,15.20,151.55,150.76,149.80,8.09,149.94,156.03,153.56
64,252.46,0.25,3,7,0.214875,0.000238,0.000202,0.000182,0.305940,0.476407,0.361869,0.324252,0.266452,0.534121,1000,674,645,53,1000,1000,1000,1000,1000,1000,303.99,206.33,197.78,15.95,306.86,308.52,292.73,298.36,295.58,298.51
128,376.36,0.37,2,8,0.869803,0.354654,0.241665,0.662087,0.458704,0.218935,0.479940,0.000221,0.406736,0.000272,1000,1000,1000,1000,1000,1000,1000,110,1000,30,466.52,462.27,468.16,452.37,471.70,456.82,462.07,50.74,458.94,13.97
256,458.06,0.41,0,10,0.252010,0.278426,0.721395,0.436424,0.379727,0.410356,0.516333,0.477980,0.246809,0.408334,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,461.11,467.73,473.18,449.32,435.19,440.27,465.02,460.46,466.76,461.57
512,363.08,0.26,3,7,0.000191,0.240396,0.270561,0.280514,0.460907,0.316978,0.000199,0.000258,0.555003,0.438159,133,1000,1000,1000,1000,1000,800,85,1000,1000,60.82,464.87,444.37,433.10,467.24,442.01,355.11,39.54,458.32,465.38
