points,neighbors,projections,avgtime,avgcost,avgsucctime, avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,standard,1.226256,0.010692,1.226256,0.010692,10,0,0.008982,0.011796,0.017378,0.009106,0.008360,0.011035,0.009516,0.008890,0.009603,0.012256,141,406,407,82,173,65,222,363,142,140,0.73,2.36,2.33,0.47,0.99,0.37,1.30,2.07,0.84,0.79
200,1,standard,2.120101,0.011280,2.120101,0.011280,10,0,0.009626,0.011367,0.016117,0.013912,0.011198,0.009378,0.010357,0.011553,0.010934,0.008360,660,176,100,154,113,149,139,177,94,169,7.30,1.92,1.09,1.68,1.23,1.63,1.53,1.94,1.03,1.84
