neigbors,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
2,2.29,0.01,9,1,0.001073,0.000895,0.000879,0.000749,0.000744,0.000787,0.100961,0.000844,0.000774,0.000962,318,105,114,82,166,352,1000,69,84,81,3.20,1.01,1.08,0.79,1.58,3.36,9.60,0.66,0.81,0.78
4,6.20,0.02,8,2,0.000823,0.000764,0.000871,0.113721,0.000840,0.000989,0.000881,0.000878,0.000965,0.125217,206,51,308,1000,161,233,68,58,184,1000,3.91,0.97,5.80,18.98,3.04,4.38,1.28,1.08,3.51,19.06
8,26.08,0.07,4,6,0.112092,0.092548,0.000701,0.000854,0.000939,0.200389,0.000594,0.112466,0.101351,0.114623,1000,1000,109,319,191,1000,55,1000,1000,1000,38.94,39.21,4.20,12.51,7.42,38.84,2.12,39.12,39.47,38.95
16,56.32,0.08,3,7,0.161365,0.000848,0.000905,0.132608,0.097809,0.097055,0.105739,0.000704,0.088173,0.137994,1000,54,46,1000,1000,1000,1000,180,1000,1000,78.11,4.14,3.52,77.68,76.86,77.53,77.29,13.99,77.05,77.00
32,83.83,0.06,5,5,0.000626,0.096814,0.000994,0.000721,0.000814,0.151445,0.099150,0.000776,0.106379,0.099573,180,1000,61,168,38,1000,1000,70,1000,1000,27.97,155.88,9.30,25.60,5.75,150.57,150.05,10.31,152.79,150.11
64,242.28,0.12,2,8,0.194609,0.129972,0.173261,0.140990,0.148599,0.117578,0.000559,0.153933,0.093581,0.000686,1000,1000,1000,1000,1000,1000,85,1000,1000,79,300.16,296.14,299.51,293.61,298.24,297.14,25.82,294.68,294.29,23.25
128,414.07,0.14,1,9,0.195949,0.177221,0.086845,0.000951,0.190511,0.128860,0.118980,0.235070,0.119747,0.144031,1000,1000,1000,34,1000,1000,1000,1000,1000,1000,454.19,453.80,459.19,15.18,461.05,457.94,460.01,464.26,456.55,458.51
256,416.85,0.15,1,9,0.089437,0.149791,0.150795,0.208894,0.098940,0.216165,0.000945,0.140011,0.197730,0.222538,1000,1000,1000,1000,1000,1000,129,1000,1000,1000,456.20,455.36,450.78,460.18,458.89,459.00,58.54,457.54,456.58,455.45
512,371.25,0.12,2,8,0.079349,0.134744,0.175064,0.000882,0.000434,0.215351,0.146232,0.117485,0.139582,0.142384,1000,1000,1000,53,77,1000,1000,1000,1000,1000,458.04,461.94,457.74,23.97,34.62,455.99,455.25,454.71,453.64,456.62
