neighbors,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
2,2.37,0.02,9,1,0.001275,0.001479,0.001389,0.001580,0.149003,0.001275,0.001479,0.000955,0.001251,0.001545,164,78,93,231,1000,136,254,112,114,250,1.61,0.76,0.90,2.50,9.83,1.27,2.37,1.03,1.05,2.32
4,8.50,0.05,7,3,0.001459,0.165936,0.001231,0.001038,0.001243,0.001215,0.152625,0.146898,0.001270,0.001292,818,1000,135,53,80,279,1000,1000,92,104,15.44,19.10,2.42,1.06,1.41,4.99,18.21,18.68,1.73,1.93
8,8.10,0.00,9,1,0.001137,0.000699,0.001051,0.004857,0.001385,0.001110,0.001401,0.000990,0.001458,0.000961,84,50,171,1000,98,180,150,88,40,85,2.97,1.94,6.49,42.51,4.24,7.34,6.54,3.79,1.65,3.50
16,45.73,0.09,5,5,0.192312,0.000846,0.139405,0.000918,0.000975,0.001206,0.229294,0.148431,0.140248,0.001041,1000,134,1000,550,72,78,1000,1000,1000,78,78.35,11.27,77.98,42.83,5.87,6.43,75.14,78.50,75.31,5.60
32,119.04,0.13,3,7,0.276309,0.141097,0.000999,0.151089,0.251917,0.143157,0.126854,0.000974,0.000772,0.245800,1000,1000,355,1000,1000,1000,1000,195,119,1000,157.94,150.62,55.56,159.95,155.12,154.64,155.29,28.91,17.15,155.27
64,233.29,0.14,3,7,0.284570,0.141971,0.001085,0.001259,0.135598,0.280016,0.142779,0.143882,0.294319,0.000920,1000,1000,249,265,1000,1000,1000,1000,1000,49,318.98,303.40,72.46,80.85,318.99,309.86,310.26,301.88,301.97,14.22
128,479.64,0.20,0,10,0.206550,0.146238,0.135652,0.144499,0.277107,0.256897,0.212537,0.201106,0.210790,0.214678,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,449.10,481.03,483.11,477.88,473.90,484.60,487.17,477.81,477.71,504.06
256,434.42,0.18,1,9,0.138786,0.240317,0.198388,0.139871,0.233337,0.294219,0.000927,0.188190,0.201946,0.138728,1000,1000,1000,1000,1000,1000,120,1000,1000,1000,481.44,493.50,482.12,473.67,479.71,472.65,54.48,479.98,465.35,461.26
512,328.00,0.15,3,7,0.198735,0.332004,0.001314,0.000761,0.001012,0.219863,0.205829,0.240574,0.149524,0.180609,1000,1000,45,105,36,1000,1000,1000,1000,1000,472.42,480.33,22.65,48.12,17.38,450.56,440.02,448.14,448.67,451.75
