projections,avgtime,avgcost
3,11.55,0.003240
4,14.65,0.005184
5,18.23,0.000254
6,22.07,0.000648
7,25.67,0.000595
8,29.25,0.001771
9,32.93,0.000231
10,36.74,0.000197
11,40.35,0.000137
12,44.33,0.000892
13,47.77,0.000094
14,51.69,0.000063
15,55.98,0.001481
16,59.28,0.000058
17,62.34,0.000044
18,66.41,0.000003
19,70.19,0.000001
projections,avgtime,avgcost
