points,neighbors,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
500,1,10.40,0.01,9,1,0.088567,0.001286,0.001383,0.001439,0.001492,0.001396,0.001241,0.001814,0.001428,0.001422,1000,288,207,918,432,282,213,336,288,510,23.50,6.68,4.66,21.24,10.20,6.58,4.78,7.84,6.71,11.80
500,2,22.15,0.03,7,3,0.001108,0.001207,0.072239,0.001209,0.001791,0.001335,0.095180,0.001141,0.075743,0.001207,495,483,1000,126,216,94,1000,252,1000,163,21.92,21.07,44.50,5.52,9.44,4.10,46.11,13.18,47.63,8.09
500,4,55.96,0.03,7,3,0.001158,0.069963,0.001148,0.075379,0.001243,0.001149,0.001428,0.001233,0.101423,0.001013,158,1000,992,1000,365,694,219,113,1000,115,16.36,106.80,99.26,99.32,32.27,60.31,20.44,11.65,101.83,11.37
500,8,193.92,0.12,0,10,0.140794,0.152668,0.102358,0.071958,0.123254,0.091991,0.069464,0.178410,0.140750,0.147727,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,196.66,201.48,181.88,203.14,203.71,197.30,176.31,200.94,174.92,202.84
500,16,375.19,0.14,0,10,0.221280,0.095254,0.122099,0.176959,0.160974,0.109440,0.125872,0.154982,0.189643,0.069011,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,370.02,378.02,387.21,383.88,360.58,401.62,393.23,363.16,357.43,356.71
500,32,764.29,0.17,0,10,0.147341,0.190302,0.116631,0.200098,0.140670,0.164181,0.158247,0.210969,0.207255,0.146278,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,752.71,807.23,749.41,739.57,756.86,779.89,771.20,757.60,765.54,762.85
500,64,1542.55,0.19,0,10,0.167145,0.113856,0.204659,0.193006,0.220617,0.216710,0.171782,0.178811,0.157735,0.229130,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1542.29,1451.86,1483.34,1523.54,1578.18,1619.22,1551.52,1696.59,1450.19,1528.80
500,128,2884.32,0.20,0,10,0.254466,0.240250,0.133305,0.238748,0.110396,0.143486,0.187062,0.189206,0.212410,0.275234,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3016.40,2875.90,2836.85,2895.69,2875.62,2838.29,2880.41,2852.39,2876.46,2895.24
