datapoints,avgtime,avgcost
100,7.62,0.13
200,50.49,0.11
300,128.24,0.13
400,132.83,0.03
500,288.66,0.09
600,484.18,0.11
700,511.45,0.11
800,758.49,0.14
900,601.07,0.00
1000,1771.21,0.28
1100,1699.28,0.22
1200,2029.54,0.19
1300,1784.02,0.18
1400,2076.69,0.06
1500,2855.22,0.17
1600,2125.79,0.01
1700,5229.07,0.25
1800,3689.19,0.08
1900,3487.42,0.05
2000,4990.14,0.15
datapoints,avgtime,avgcost
