points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime, avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,None,3,1.793334,0.019812,1.195924,0.009669,9,1,0.010454,0.009621,0.010257,0.007135,0.010012,0.011075,0.008948,0.009302,0.010213,0.111105,165,116,140,144,139,389,128,102,143,1000,1.15,0.83,1.04,1.00,1.11,2.84,1.09,0.75,0.97,7.17
200,1,None,3,2.689569,0.009439,2.689569,0.009439,10,0,0.010537,0.009075,0.010506,0.008371,0.010327,0.008643,0.008098,0.010290,0.009121,0.009427,171,197,189,157,180,154,288,226,185,309,2.22,2.72,2.58,1.95,2.40,1.98,3.71,3.08,2.44,3.81
300,1,None,3,4.350718,0.009327,4.350718,0.009327,10,0,0.009405,0.010258,0.008216,0.011030,0.009656,0.009239,0.009138,0.008493,0.009365,0.008468,244,146,209,202,154,217,272,460,280,234,4.11,2.52,3.56,3.70,2.54,3.61,5.15,8.34,5.41,4.55
400,1,None,3,5.792997,0.011918,5.792997,0.011918,10,0,0.011057,0.007196,0.017608,0.009206,0.008913,0.008040,0.010385,0.010085,0.009002,0.027694,506,391,198,218,143,176,160,192,178,218,13.24,9.63,5.07,5.02,3.42,4.30,3.98,4.34,4.18,4.75
500,1,None,3,10.301143,0.013557,8.360726,0.009484,9,1,0.009552,0.008569,0.009270,0.050217,0.008868,0.009220,0.009466,0.007884,0.011241,0.011289,154,276,183,1000,452,219,297,316,274,479,4.68,7.63,5.23,27.76,12.78,6.21,8.07,8.75,7.77,14.13
