,x,y
0,19.102684,7.3294573
1,6.995275,7.857486
2,33.0955,-2.0319898
3,4.023923,-4.350968
4,-17.945957,-33.80995
5,2.1667976,-12.420913
6,-26.788668,15.958748
7,-44.769108,-0.9127911
8,27.012077,-7.4901285
9,16.160091,16.912613
10,23.45446,-15.70498
11,19.993887,-34.8561
12,-19.889397,11.100159
13,-46.090492,-1.1980575
14,-7.261766,-24.229399
15,-30.6167,-22.310387
16,5.9290047,0.37000957
17,20.363216,34.491608
18,-46.456776,-4.1938157
19,-35.030304,9.851563
20,2.3812447,2.3154209
21,2.8305874,-1.093124
22,10.535095,9.111067
23,-45.041454,-0.6873868
24,-3.100129,-0.5722459
25,8.396003,-19.217745
26,6.8497734,8.064656
27,-4.088656,-21.707542
28,20.486067,-2.7915206
29,10.55425,-2.690613
30,-12.215053,12.199833
31,-2.037315,35.572342
32,2.394161,-3.7751029
33,8.17481,-33.077152
34,11.116408,4.9734707
35,-5.40553,-4.825625
36,2.159882,7.438273
37,4.4497976,-12.7926445
38,-46.23344,-4.51871
39,32.78814,9.45593
40,9.579684,-10.963821
41,-8.365624,31.641739
42,-17.15962,-9.987928
43,0.24981728,30.015612
44,-18.831898,-24.212997
45,-1.6614908,4.294692
46,5.3775544,32.68388
47,21.210447,-8.0603285
48,-18.384302,5.9578247
49,-35.02647,9.853274
50,18.641449,14.266985
51,17.190226,1.8564972
52,36.031246,-3.81896
53,-19.70821,-20.43061
54,16.033907,-26.632002
55,-21.081003,36.067585
56,4.5523734,-20.570978
57,-8.840422,3.9692833
58,-4.8067937,17.463701
59,26.774916,6.6986265
60,-33.38151,-17.983727
61,-5.8061433,-35.433437
62,-11.443355,21.277164
63,7.15394,0.10042552
64,-17.042082,-33.54852
65,28.333403,11.158886
66,27.949293,20.226131
67,-6.667869,9.581537
68,1.8562764,-0.785186
69,-7.311477,-8.194289
70,-34.582417,9.3022995
71,21.155748,34.802258
72,2.2983356,-1.00384
73,-27.948603,-22.877369
74,-21.187172,-11.746073
75,24.85198,-18.244793
76,33.1195,-0.7946018
77,7.188368,-38.955357
78,6.4522457,-0.74878407
79,27.565195,23.30823
80,-21.09511,-11.992263
81,-13.636771,-23.887089
82,1.196395,2.117703
83,-2.965849,-1.9516785
84,-2.9108407,-27.143604
85,-7.5002117,-5.5934014
86,22.148243,0.564773
87,9.054998,-7.0453405
88,15.707038,-6.0818176
89,-3.9662263,-5.9491243
90,-33.38149,-17.98362
91,12.826499,32.327015
92,19.66849,-34.651955
93,-5.0271115,7.028999
94,-0.11378302,5.0913463
95,23.236801,-21.406332
96,16.413963,4.510157
97,-3.1613595,14.60026
98,-4.0413637,-18.310268
99,-11.294869,1.3484969
100,6.5316358,-16.16981
101,14.298461,-34.488808
102,-10.17952,-11.071719
103,0.3245535,-9.818899
104,9.641336,1.3530518
105,2.5427754,-0.713065
106,30.837374,-11.179069
107,9.612234,-8.682914
108,-17.930779,-33.796837
109,14.195448,-8.577008
110,21.276169,-8.042765
111,-8.883258,-3.258376
112,9.179802,38.365753
113,24.710949,10.954809
114,15.030194,-21.017365
115,16.160315,16.913076
116,10.277838,25.036612
117,7.670866,-24.985088
118,-3.014613,0.75662774
119,1.904297,-1.4889078
120,-1.9153848,35.61681
121,-7.4885488,-5.578268
122,12.110409,-5.075358
123,3.1590288,-0.22551931
124,-5.0202537,-7.974659
125,-7.928717,-0.9974676
126,-46.40686,-2.810771
127,-20.808453,-0.36381558
128,-8.426686,31.730082
129,-9.225242,-20.924782
130,-11.28341,1.2999111
131,11.813631,2.026913
132,15.936997,-27.901163
133,3.709731,1.3929785
134,16.344534,4.552002
135,-9.225242,-20.924782
136,-5.1895976,4.971348
137,5.651652,10.121516
138,-9.643497,-11.112535
139,-20.979351,-0.8409824
140,-25.990643,8.213255
141,-0.27782252,-21.866959
142,-14.435158,-19.05046
143,1.7083781,11.154104
144,3.259961,-3.7037797
145,12.787175,21.734509
146,0.10700836,13.993933
147,-47.075207,-4.2073855
148,8.944517,0.024972871
149,-12.21556,12.200708
150,-19.708231,-20.430653
151,12.937555,21.3706
152,-9.472729,20.86349
153,-33.38149,-17.983671
154,-23.64442,-22.885452
155,-30.225004,9.057962
156,5.3779316,32.68304
157,19.138762,-0.43375823
158,1.8701122,-10.321884
159,12.346644,-18.291761
160,-24.396227,3.6381383
161,1.3466008,5.1576743
162,-12.854786,-12.88572
163,33.755215,-4.934017
164,9.03623,28.04314
165,3.889063,8.585911
166,27.012085,-7.4898725
167,6.205276,-3.9338691
168,-17.669598,-9.395856
169,1.6776385,3.1312234
170,-4.007992,-11.795659
171,-0.29728004,-5.5212965
172,-2.187953,-6.5049367
173,-6.990513,-16.998503
174,14.297261,-34.488766
175,8.88048,15.395301
176,-25.990622,8.213254
177,-31.30254,-22.804358
178,9.520017,-5.2071214
179,-20.870176,36.77208
180,14.761739,-20.752062
181,3.1014633,16.327896
182,8.021385,-18.3977
183,-31.225246,-22.910244
184,4.66267,-3.6305404
185,-24.595327,-8.7206
186,9.742956,11.778361
187,-17.463467,-32.94494
188,23.566643,-2.9750054
189,27.440506,-22.35985
190,15.375304,10.176656
191,1.8048434,-0.9750321
192,3.3198073,32.970776
193,-7.606214,7.28545
194,26.333084,21.42003
195,-20.4056,16.45072
196,30.837944,-11.179182
197,15.911442,26.208418
198,7.3525777,-7.883257
199,-12.712813,-34.77013
200,-16.976915,-1.0297719
201,-1.5111188,-5.3560305
202,-27.38907,19.284018
203,9.108655,28.092094
204,6.198462,2.2612047
205,25.308205,-3.5845075
206,7.6708403,-24.985126
207,7.9777536,-9.354954
208,6.4290495,33.031586
209,-17.359423,-26.432476
210,-13.882325,15.575287
211,6.0285997,11.134498
212,-0.69664574,-32.936657
213,8.527601,14.590891
214,21.470356,10.059006
215,3.7949564,-0.91781586
216,12.562185,-7.28783
217,25.580639,23.689106
218,-24.149529,-8.239334
219,3.3993092,12.31074
220,12.459467,5.336877
221,-23.561861,-23.078241
222,-20.572994,4.4048657
223,0.49507514,-18.467909
224,4.56969,-23.106651
225,25.766916,14.860831
226,-2.1047783,10.803511
227,2.145194,-5.141172
228,2.855635,-8.850583
229,6.5316358,-16.16981
230,6.132356,24.048586
231,-21.14745,37.1708
232,-6.7769847,-10.694857
233,33.947006,-9.039978
234,29.334555,20.304146
235,-0.3236953,-34.94871
236,-7.781073,14.348875
237,-26.379887,-20.976995
238,15.580603,26.07974
239,18.982756,-17.403307
240,33.946945,-9.039985
241,23.695095,-5.5401816
242,2.4931598,-0.18236078
243,28.333403,11.158892
244,-2.0197108,7.3708234
245,-22.07566,36.269886
246,-30.339111,0.47447014
247,5.4690924,1.4061618
248,0.3047169,-1.6785806
249,-28.451077,19.120955
250,-2.5256143,-31.210995
251,15.209457,-27.535685
252,-31.30254,-22.804358
253,9.782565,3.3541389
254,-13.806335,4.8716803
255,17.775412,-8.04336
256,-45.4788,-1.7030125
257,-34.895355,9.289519
258,-26.930565,20.87386
259,6.4153852,33.83483
260,-1.939287,0.17824368
261,26.628843,23.94463
262,-0.6137644,1.0586216
263,7.4729824,-6.399706
264,21.190077,13.906156
265,12.447347,-13.280895
266,-8.242617,31.454447
267,-16.32283,-0.3698465
268,-12.712813,-34.77013
269,3.4660811,-10.420496
270,25.801977,22.829895
271,-7.7631607,18.45879
272,26.467718,-0.3096713
273,-15.61384,13.687096
274,18.93456,11.237581
275,-20.941952,-11.359997
276,0.22108944,1.7370235
277,24.119617,-16.117153
278,17.369022,2.9421358
279,-28.451077,19.120955
280,-10.6424265,6.163224
281,-17.35942,-26.432476
282,-10.330246,-5.000618
283,19.940607,3.517931
284,-9.132434,26.219816
285,3.9872441,8.259027
286,21.8686,13.225088
287,19.018007,-22.139187
288,10.789603,-27.1691
289,22.679266,-9.256562
290,13.299989,21.875345
291,-10.17952,-11.07172
292,-30.41671,9.9692955
293,-19.98825,-16.584448
294,2.2855675,-7.5561385
295,-19.746082,17.831263
296,1.5042125,-4.3295946
297,-0.63329685,33.968452
298,-10.910129,9.076422
299,1.861914,-1.3925508
300,-1.1964582,21.07932
301,7.187208,-38.97093
302,22.040384,5.5998683
303,-11.514488,12.500635
304,-12.963187,-37.639263
305,2.4544635,-1.4680058
306,-13.550609,2.8162408
307,-0.8434465,-3.284171
308,26.622177,-10.66128
309,1.4045593,-8.779264
310,13.085557,21.409788
311,12.626244,6.234401
312,20.019663,3.6363292
313,23.5664,-2.9748878
314,17.750156,-7.4134564
315,10.393456,1.2066013
316,-9.619924,-7.7365403
317,27.972536,20.251019
318,-12.962966,-37.639046
319,24.42897,-16.285732
320,13.152906,-7.1557393
321,15.348788,12.562167
322,-19.976278,16.655703
323,-8.926376,11.030001
324,14.878708,-3.8933535
325,-18.299793,-33.693176
326,12.447109,-13.280897
327,-11.765451,21.630621
328,14.7723,7.279355
329,37.00549,-0.56828177
330,-3.1613953,14.600384
331,-9.225244,-20.924782
332,-9.132576,26.220312
333,-5.323549,22.755493
334,10.577103,-22.1221
