,x,y
0,0.24462461,-0.23674133
1,-0.49194717,-0.85053664
2,-0.13739176,-0.6426689
3,0.9103726,-0.5730288
4,-0.60602146,-0.36812797
5,0.5914944,0.71636313
6,-0.64423007,-0.66607624
7,-0.46135354,-0.028048618
8,0.7425255,0.7520832
9,0.7180919,-0.56829053
10,0.42293605,0.58637017
11,-0.5639516,-0.18451059
12,0.1194086,0.5781109
13,0.6852445,-0.30257598
14,-0.5136202,-0.7103108
15,-0.27758175,-0.48068246
16,0.38180476,0.7559496
17,0.96374595,-0.5405791
18,-0.4797186,-0.3197093
19,0.48486307,0.5694908
20,-0.43769237,-0.083573446
21,0.37720427,0.695717
22,0.5260912,0.758113
23,-0.48713368,-0.37661847
24,0.52278954,-0.069206014
25,-0.30779254,-0.85206264
26,-0.6661482,-0.695252
27,0.3916513,0.4951539
28,-0.5418322,-0.36105955
29,0.031644136,-0.43581378
30,-0.2530901,-0.8980755
31,-0.5544318,-0.2223964
32,0.52952033,0.6301455
33,0.00572421,-0.25037095
34,-0.09872824,0.36767313
35,0.8614555,-0.45891848
36,0.6046888,0.7394096
37,-0.6702727,-0.50225234
38,-0.26569682,-0.9076488
39,0.06126683,0.4160202
40,0.8968713,-0.5910246
41,0.8078023,-0.47950953
42,-0.52139485,-0.8480923
43,-0.36978927,-0.96540815
44,-0.014925478,-0.18009469
45,-0.020609379,0.6577241
46,0.8861795,-0.4800094
47,0.638522,0.6511423
48,-0.42516014,-0.26353922
49,0.5422892,0.7042483
50,-0.4038066,-0.93793994
51,-0.2703559,-1.0
52,-0.3056461,-0.78167045
53,0.37838537,-0.39341593
54,0.65487295,0.64909303
55,-0.26724285,0.25274304
56,-0.28193668,-0.84833544
57,0.59775656,-0.27048007
58,0.5572688,-0.5437341
59,0.37705007,0.43267688
60,-0.34464246,-0.77760816
61,-0.026196297,-0.041094705
62,0.5614851,0.69816923
63,-0.46013543,-0.018605594
64,-0.29546306,-0.42534184
65,-0.24352662,-0.8801572
66,0.5835932,-0.5956045
67,0.5348016,0.7752193
68,-0.039144862,-0.018292714
69,0.5923717,-0.55542874
70,0.07743386,-0.40644687
71,-0.4847444,-0.86178005
72,-0.3372628,-0.831255
73,-0.21357755,-0.048359893
74,0.6744326,-0.624574
75,-0.19216777,-0.80527407
76,0.6441124,0.6075387
77,-0.56289923,-0.28110188
78,0.32294902,0.49401745
79,-0.22961952,-0.10824439
80,0.11031842,0.546459
81,-0.24642627,-0.002357002
82,-0.23361972,-0.8546056
83,-0.19585104,-0.8743838
84,0.3894866,-0.23136348
85,-0.31689563,-0.43488893
86,0.17691949,-0.07598707
87,0.13213624,0.35101083
88,0.6091133,-0.5989945
89,-0.32465988,-0.86236703
90,0.6550378,0.629573
91,0.25990105,0.50089276
92,-0.07612904,0.014889488
93,-0.5307539,-0.3973428
94,-0.46312505,-0.8886312
95,0.4749182,0.48833126
96,0.2675258,-0.0231355
97,-0.19986269,0.017975073
98,-0.66415423,-0.37176162
99,0.66473246,0.7571224
100,0.26428962,-0.22819269
101,0.5514237,-0.56768167
102,-0.6275541,-0.44482788
103,-0.337401,-0.8587358
104,0.5518642,-0.55200803
105,0.7064643,0.85967517
106,0.85511875,-0.5870699
107,0.920927,-0.5397029
108,0.2945932,-0.21391673
109,-0.20755452,-0.977543
110,-0.23527652,-0.81032103
111,0.6778914,-0.6355328
112,0.69402725,0.70735174
113,0.55773145,0.7253227
114,-0.4213488,-0.58865595
115,0.4474473,0.5232704
116,-0.1928186,-0.34767205
117,0.86559564,-0.5156175
118,0.5291426,0.87009925
119,0.37919053,-0.2721113
120,-0.5968733,-0.6315602
121,0.4003292,-0.13114919
122,0.63319105,0.82795745
123,-0.4776234,-0.074478
124,-0.354109,-0.50897694
125,-0.4943196,-0.65854645
126,0.13349506,-0.30538076
127,0.48478812,0.5628633
128,-0.16967626,-0.27941555
129,0.31506643,-0.033690836
130,0.7195984,0.7277244
131,-0.34952727,-0.5592392
132,-0.3248214,-0.96523154
133,0.54644316,-0.14653192
134,0.8047698,-0.48236468
135,0.018486435,-0.4154267
136,-0.049626645,0.08822182
137,0.36648333,0.58592135
138,0.87643886,-0.5663413
139,-0.16618873,0.37796295
140,-0.06387042,0.42488244
141,0.6694046,-0.5535558
142,0.30599114,0.6999153
143,-0.15187936,-0.3809788
144,0.6233548,-0.42705587
145,-0.2888835,-0.5781567
146,0.48015758,0.57514954
147,-0.29026204,-0.394669
148,-0.26471928,-0.94652915
149,-0.13665037,-0.028202267
150,-0.2552921,-0.9402385
151,0.6615239,0.6864613
152,-0.18689118,-0.93598926
153,0.5025087,0.6639994
154,-0.104851715,-0.43346763
155,0.6905104,0.755824
156,0.7632496,-0.31140247
157,-0.24936718,-0.9057195
158,0.032957908,0.24226187
159,-0.016274361,0.20690832
160,0.56829375,-0.0862074
161,-0.4512181,-0.82275885
162,0.81885,-0.62836736
163,0.5016661,0.8418834
164,-0.1628495,-0.041995708
165,-0.121154,-0.06497317
166,0.44980145,-0.16275038
167,0.28439608,0.7173833
168,-0.048113495,0.24935356
169,-0.40170437,-0.9099111
170,0.6147257,-0.4613563
171,-0.39087638,-0.78954333
172,-0.55590624,-0.7354099
173,0.18751791,-0.28875732
174,0.6208514,-0.40281174
175,-0.32138672,-0.9743778
176,-0.26387194,-0.14509915
177,-0.275976,-0.74059963
178,0.17113508,-0.33068487
179,0.6517726,0.66965055
180,0.11063069,-0.04038147
181,-0.056077052,0.44112262
182,-0.23863703,-0.8506459
183,0.12003084,-0.30979252
184,0.7507005,0.74558926
185,-0.015833613,0.39233682
186,-0.21002088,-0.8687643
187,0.052938607,-0.2029887
188,0.33522213,0.34272346
189,-0.040600985,0.032314975
190,0.69848377,0.70534116
191,-0.08402087,0.37754527
192,-0.21106258,-0.8732784
193,0.02673082,0.5530227
194,-0.049064007,0.26277483
195,0.09871071,0.30072558
196,-0.40720364,-0.22804782
197,0.21442294,-0.32635847
198,-0.63888055,-0.44116297
199,0.06834609,0.68681544
200,0.22278115,-0.3308006
201,0.11072474,0.63099456
202,-0.39824736,-0.08539322
203,0.51747906,0.7463516
204,0.18998553,0.5915542
205,-0.21731809,-0.64574015
206,0.021901164,-0.11078399
207,0.58420604,0.7572046
208,0.3128605,-0.31784967
209,0.63429916,-0.592217
210,0.506872,0.76327324
211,0.27479884,-0.06302153
212,0.3848644,0.43380505
213,-0.17709184,-0.72329473
214,0.5666888,0.7314789
215,-0.18892308,0.220152
216,0.36156094,0.5391445
217,0.22275873,-0.3376788
218,0.22226806,-0.33590502
219,-0.46647146,-0.25487942
220,-0.1964736,-0.8323359
221,0.12762308,-0.31093487
222,0.6290552,0.63021153
223,0.5655455,0.78157866
224,0.5261958,0.7791947
225,0.07065805,-0.39911216
226,0.04358919,-0.12093282
227,0.14617582,-0.34416947
228,-0.39012933,-0.4220499
229,-0.20935132,-0.9095085
230,0.21436617,-0.34908906
231,-0.15494388,-0.45021197
232,-0.1604028,-0.87600666
233,0.39217907,0.65510756
234,-0.1957891,-0.8399437
235,0.6127289,0.7479296
236,-0.21441141,-0.86367863
237,-0.37290323,-0.52341837
238,-0.68555194,-0.43445423
239,-0.07183786,0.43743515
240,-0.12885796,-0.4102006
241,0.93448454,-0.5817531
242,0.5600512,0.82491094
243,-0.13916475,0.026988443
244,-0.5076531,-0.50230277
245,-0.5558805,-0.5930348
246,0.7671832,-0.6448498
247,-0.3985986,-0.7776927
248,0.43454602,-0.13657328
249,0.7508584,0.86268646
250,0.85260224,-0.56348693
251,0.07567316,-0.11330833
252,0.86775994,-0.5362754
253,0.5674632,0.8363241
254,-0.24318743,0.019188542
255,0.45856282,0.83509123
256,0.9417271,-0.5730912
257,0.9360503,-0.5704589
258,-0.5417645,-0.7390087
259,0.1330891,-0.2936065
260,0.14434326,0.01180317
261,0.5983965,0.666363
262,0.5224216,-0.4455394
263,-0.44108713,-0.04120776
264,-0.049625922,-0.082324006
265,0.12648937,0.731956
266,-0.3425139,-0.7195076
267,0.19298719,0.65453976
268,-0.55989224,-0.7343514
269,0.80948883,-0.5550348
270,-0.27372295,-0.48004952
271,-0.28531095,-0.45967692
272,-0.5653664,-0.67501354
273,0.80799526,0.8039143
274,0.78870934,0.84627914
275,0.12164044,0.36657783
276,-0.22385697,-0.6977037
277,-0.116551615,0.097942725
278,0.6099351,0.5909699
279,0.21265043,0.55916214
280,-0.20827891,-0.44660398
281,0.5247587,0.6391139
282,0.5464182,-0.5556544
283,0.22928299,0.32819352
284,0.43913788,-0.582994
285,0.58603346,0.53866774
286,0.299089,-0.1821115
287,0.22939503,0.6442042
288,-0.11162075,0.285795
289,0.21299627,0.38024223
290,-0.44312325,-0.37219554
291,0.5406701,-0.5318615
292,-0.4135477,-0.90522736
293,-0.0026760013,0.38631994
294,0.28641173,-0.3611241
295,0.7223162,-0.6474514
296,-0.11724457,-0.8187809
297,0.33651376,0.6342669
298,0.10682555,-0.16848375
299,0.14550531,0.52246255
300,-0.3834195,-0.1278234
301,0.55254805,-0.5676973
302,0.64440435,-0.57171786
303,-0.18639044,-0.9557309
304,-0.25088814,-0.1991645
305,0.082905315,-0.90400016
306,-0.53567475,-0.4228732
307,0.64852625,-0.61091846
308,0.10612405,0.29912823
309,-0.5369503,-0.3304061
310,-0.46457872,-0.7273605
311,-0.41223738,-0.28795427
312,-0.5080114,-0.74082226
313,-0.51299447,-0.08410998
314,-0.2059196,-0.13717356
315,0.036979906,0.18546501
316,-0.121069126,-0.5079314
317,-0.1332658,-0.844857
318,0.5195411,0.91767895
319,0.37815174,0.6512085
320,-0.134866,-0.06325574
321,0.42696857,0.8125898
322,0.07417101,-0.07882811
323,0.5129198,0.7677103
324,-0.21421514,-0.4747807
325,0.46876976,0.8576034
326,-0.17160654,-0.6236056
327,0.1092121,0.734371
328,-0.6691089,-0.40009597
329,-0.14103994,-0.8628866
