,x,y
0,0.32905155,0.20154688
1,0.43055645,0.056826536
2,-0.02231697,0.3183529
3,0.092461854,-0.59305364
4,0.23804948,-0.27479905
5,0.07428168,0.18639858
6,0.7478417,0.38051897
7,-0.030813158,0.44693568
8,0.04872331,0.16859722
9,0.22148812,0.6130023
10,0.094697736,0.19346938
11,0.4056562,-0.7960479
12,-0.2271145,0.6940712
13,0.20533757,0.8454711
14,-0.7357228,-0.039209355
15,-0.41510558,-0.8207548
16,-0.7436693,0.28696522
17,0.4332781,0.11690688
18,0.6935502,0.14235055
19,0.17812917,0.08099691
20,-0.026318997,0.034484293
21,0.7588034,-0.34715998
22,-0.5573285,0.41148925
23,0.14655678,0.20863028
24,-0.53718233,0.06273042
25,-0.03194642,-0.6412741
26,0.25018767,-0.64158803
27,-0.6207216,0.20658056
28,-0.62480855,-0.6542635
29,0.09648792,-0.38141963
30,-0.52083725,0.093975835
31,0.0450924,0.0010875444
32,0.7715713,-0.0008097805
33,0.60364354,-0.6538888
34,-0.795688,-0.011585866
35,0.5868419,0.02370665
36,-0.34535307,-0.07089285
37,0.1864758,-0.24596195
38,0.089792974,0.037084155
39,0.10282383,-0.035324387
40,0.13938232,0.23535123
41,-0.5470337,-0.35212076
42,0.017650727,-0.31432223
43,0.5537707,-0.22550699
44,-0.38482487,-0.7887526
45,0.650187,-0.37911397
46,-0.19371511,-0.23178679
47,0.50386554,-0.517108
48,0.60277224,0.17909089
49,0.2940866,-0.15891556
50,-0.68977165,0.47694618
51,-0.6874292,-0.4128912
52,0.56130064,-0.083396986
53,-0.02333071,0.28103292
54,-0.28682056,0.3516422
55,-0.1456054,0.3940666
56,0.4269928,0.6517714
57,-0.014429831,0.24792345
58,-0.51851,-0.41984344
59,0.4268216,-0.20327169
60,-0.51851,-0.41984344
61,0.41858387,0.20870651
62,0.808946,-0.11904249
63,-0.080520995,-0.7873303
64,0.13025197,0.46398288
65,-0.46483374,0.32909417
66,0.1935505,-0.86369777
67,-0.18765853,0.6420193
68,0.53067243,0.33129263
69,-0.23744401,0.67151004
70,0.6776369,0.051623996
71,-0.088951975,-0.36289597
72,0.0039396514,0.30982497
73,0.17891283,0.5776795
74,-0.0074528046,-0.7614792
75,-0.050027635,0.33495826
76,0.04498372,0.0009746824
77,0.36745375,-0.6365403
78,0.41858387,0.20870651
79,0.032242518,0.04243534
80,0.38066253,-0.012581706
81,0.2741857,-0.44360167
82,-0.24679378,-0.41047102
83,-0.40872005,-0.06398506
84,-0.351549,0.34167227
85,0.0039367224,0.30984855
86,0.05244342,0.029628841
87,-0.20139267,0.3926599
88,0.10910798,0.62890744
89,-0.04102067,-0.64728326
90,-0.36463597,-0.07009086
91,-0.031426214,0.55207473
92,0.12925212,0.177544
93,-0.40444186,-0.77536726
94,0.5097483,-0.17486367
95,-0.48033357,-0.2615117
96,0.7128001,-0.12893678
97,0.85499495,-0.0326397
98,-0.04820487,0.23265783
99,0.937919,0.018565623
100,0.14791484,0.019236127
101,0.63409543,0.46391585
102,0.29832003,0.70385045
103,-0.25585592,-0.08164205
104,-0.94826615,0.006427958
105,-0.5468823,0.16114599
106,0.80450714,0.024541512
107,0.14259063,0.09393279
108,0.46805084,-0.15419382
109,-0.29106998,0.6193963
110,-0.24930805,-0.40136275
111,0.22822766,0.2652407
112,-0.09945934,0.8161423
113,0.28373584,-0.38967863
114,-0.077593595,0.40540487
115,-0.45199537,-0.24779388
116,0.1525189,-0.69014657
117,0.46980092,0.34589455
118,0.18389887,-0.3863545
119,0.8098942,0.03476357
120,0.14912896,-0.1403634
121,0.4368918,0.6316714
122,0.26456332,0.3396253
123,0.053115483,0.18823923
124,0.42624256,-0.3999311
125,0.15516181,-0.10994015
126,0.05584606,0.8010356
127,0.11446106,0.21214955
128,0.6015442,-0.5236133
129,-0.10264392,0.8014783
130,0.096646234,0.10837115
131,0.8187059,-0.35534036
132,0.072358124,-0.039194286
133,0.45813397,0.24908818
134,-0.39759624,-0.2524407
135,-0.41955605,-0.4862096
136,-0.41955605,-0.4862096
137,0.7673652,0.16718276
