,x,y
0,0.3509434,0.18719794
1,0.12851311,0.20068404
2,0.60801125,-0.051898018
3,0.07392517,-0.11112586
4,-0.32969266,-0.86352277
5,0.039807145,-0.3172362
6,-0.4921458,0.40759426
7,-0.822472,-0.023313133
8,0.49625015,-0.19130155
9,0.2968838,0.43195644
10,0.4308917,-0.4011129
11,0.36731604,-0.89024186
12,-0.3653964,0.2835035
13,-0.8467477,-0.030598978
14,-0.13340893,-0.61883074
15,-0.56247216,-0.56981826
16,0.10892422,0.009450226
17,0.37410116,0.8809326
18,-0.8534768,-0.10711211
19,-0.64355636,0.25161377
20,0.04374684,0.059136987
21,0.052001905,-0.027918926
22,0.19354464,0.23270112
23,-0.82747537,-0.017556196
24,-0.05695376,-0.014615442
25,0.15424648,-0.49083063
26,0.12584005,0.20597528
27,-0.07511441,-0.5544213
28,0.3763581,-0.0712968
29,0.19389653,-0.06871958
30,-0.22440784,0.31158972
31,-0.037428364,0.90853506
32,0.04398413,-0.09641798
33,0.15018286,-0.84480673
34,0.20422418,0.12702489
35,-0.09930725,-0.12324883
36,0.039680097,0.18997714
37,0.08174909,-0.32673043
38,-0.8493738,-0.115410075
39,0.6023646,0.2415091
40,0.17599238,-0.28002137
41,-0.15368839,0.8081455
42,-0.31524655,-0.25509658
43,0.0045894976,0.7666135
44,-0.34596866,-0.61841184
45,-0.03052394,0.10968854
46,0.0987933,0.83476233
47,0.389666,-0.20586474
48,-0.3377457,0.15216577
49,-0.6434859,0.25165746
50,0.34246984,0.3643858
51,0.3158088,0.04741585
52,0.66194504,-0.09753811
53,-0.36206776,-0.52180785
54,0.2945656,-0.68019444
55,-0.3872879,0.9211838
56,0.08363356,-0.5253929
57,-0.16241108,0.10137744
58,-0.08830761,0.4460315
59,0.49189317,0.1710862
60,-0.6132657,-0.4593132
61,-0.10666709,-0.9049874
62,-0.21023065,0.54342926
63,0.13142802,0.002564917
64,-0.3130872,-0.8568457
65,0.5205248,0.28500342
66,0.51346815,0.51658535
67,-0.12249821,0.24471717
68,0.03410243,-0.020054037
69,-0.1343222,-0.20928617
70,-0.635328,0.23758529
71,0.3886611,0.8888667
72,0.04222368,-0.025638565
73,-0.51345545,-0.58429927
74,-0.3892384,-0.30000046
75,0.4565661,-0.46598098
76,0.60845214,-0.020294521
77,0.13206051,-0.99493897
78,0.118536904,-0.019124312
79,0.50641173,0.59530365
80,-0.38754708,-0.30628827
81,-0.25052682,-0.610088
82,0.021979474,0.054087173
83,-0.05448685,-0.049846828
84,-0.05347627,-0.69326097
85,-0.13778952,-0.14285822
86,0.40689462,0.01442458
87,0.16635315,-0.17994146
88,0.28856054,-0.15533261
89,-0.0728652,-0.15194356
90,-0.6132653,-0.45931047
91,0.23564097,0.82564783
92,0.36133805,-0.88502795
93,-0.09235516,0.17952408
94,-0.0020903554,0.13003549
95,0.42689297,-0.54672825
96,0.30154777,0.11519163
97,-0.058078658,0.3728978
98,-0.07424558,-0.46765324
99,-0.20750277,0.034441274
100,0.11999541,-0.41298488
101,0.262683,-0.8808611
102,-0.18701221,-0.28277716
103,0.005962508,-0.2507795
104,0.17712502,0.034557607
105,0.046714388,-0.018212032
106,0.5665263,-0.2855189
107,0.17659037,-0.22176588
108,-0.32941383,-0.8631878
109,0.2607905,-0.219061
110,0.39087337,-0.20541616
111,-0.16319804,-0.08322052
112,0.16864598,0.97988015
113,0.45397517,0.2797912
114,0.27612597,-0.5367938
115,0.29688787,0.43196827
116,0.18881845,0.63944733
117,0.14092468,-0.63813144
118,-0.055382714,0.019324644
119,0.034984637,-0.038027436
120,-0.035188332,0.9096708
121,-0.13757525,-0.1424717
122,0.22248538,-0.12962714
123,0.058035836,-0.005759874
124,-0.09222918,-0.2036767
125,-0.14566177,-0.025475811
126,-0.8525598,-0.071788475
127,-0.38228077,-0.009292029
128,-0.15481018,0.81040186
129,-0.16948077,-0.5344292
130,-0.20729224,0.03320037
131,0.21703315,0.05176835
132,0.29278523,-0.7126094
133,0.068153016,0.035577357
134,0.30027226,0.116260365
135,-0.16948077,-0.5344292
136,-0.09534027,0.12697066
137,0.103828855,0.2585085
138,-0.17716472,-0.28381962
139,-0.3854204,-0.021479104
140,-0.47748494,0.20977056
141,-0.0051039937,-0.55849284
142,-0.26519433,-0.48655814
143,0.03138533,0.2848813
144,0.059890103,-0.094596356
145,0.23491853,0.55511004
146,0.0019658953,0.35741192
147,-0.8648383,-0.107458696
148,0.16432346,0.0006378194
149,-0.22441715,0.3116121
150,-0.36206815,-0.5218089
151,0.23768122,0.5458156
152,-0.17402746,0.53286374
153,-0.6132653,-0.45931178
154,-0.4343815,-0.5845057
155,-0.55527616,0.2313448
156,0.09880023,0.83474094
157,0.3516062,-0.011078399
158,0.034356613,-0.26362598
159,0.22682536,-0.46718058
160,-0.44819328,0.09291984
161,0.024738966,0.13172953
162,-0.23616064,-0.3291076
163,0.62013113,-0.12601723
164,0.16600835,0.7162356
165,0.071447596,0.21928838
166,0.4962503,-0.19129503
167,0.11399972,-0.10047295
168,-0.32461557,-0.23997478
169,0.030820599,0.07997298
170,-0.07363249,-0.30126694
171,-0.005461456,-0.14101662
172,-0.040195797,-0.16613927
173,-0.12842563,-0.4341501
174,0.26266095,-0.88086003
175,0.163147,0.39320356
176,-0.47748455,0.20977055
177,-0.57507205,-0.5824345
178,0.1748962,-0.13299243
179,-0.38341472,0.939177
