0,94.021,164.78,257.78,325.58,429.52,504.35,583.74,612.54,599.79,566.85,540.58,506,492.3,484,102.96,152.97,210.15,240.71,277.83,284.04,254.5,208.35,168.19,94.255,373.36,404.86,430.06,456.32,476.42,481.2,456.36,428.17,398.72,371.56,161.6,203.58,228.47,256.76,272.03,251.75,212.64,182.57,375.94,398.74,427.86,452.12,462.45,451.15,423.49,389.49,301.76,313.9,340.62,331.9,356.93,401.2,418.8,429.44,437.36,408.87,364.99,351.45,412.99,396.23,403.82,423.79,462.21,497.59,516.89,520.55,514.2,491.67,454.28,435.72,398.97,387.96,500.7,478.84,448.58,416.74,443.85,466.05,480.97
94.021,0,71.386,165.42,233.32,340.19,417.7,502.57,540.3,534.18,515.3,497.69,481.41,482.02,491.47,105.68,161.25,215.71,243.02,276.2,286.36,263.8,221.72,186.95,110,370.62,402.64,429.16,454.54,474.24,481.75,460.32,433.82,402.14,372.86,128.02,168.96,197.02,230.56,254.01,238.68,204.84,164.98,362,384.05,412.24,438.11,452.04,444.76,416.81,380.43,293.16,292.44,302.24,278.18,300.72,350.75,368.64,381.58,394.2,376.6,343.14,342.71,370.65,319.1,328.4,348.31,387.75,427.33,449.93,458.95,458.25,436.36,398.65,375.54,335.26,319.33,438.95,420.61,383.63,349.83,373.74,399.22,416.43
164.78,71.386,0,94.255,162.09,270.3,349.28,437.65,481.84,480.94,473.57,463.25,462,473.81,496.57,144.8,189.5,234.14,256.26,283.7,296.07,280.26,244.88,217.81,154.83,371.9,403.05,429.68,453.62,472.46,481.87,463.59,439.14,406.85,377.12,132.74,162.54,188.74,222.65,250.57,240.67,214.85,173.91,354.97,375.49,401.92,428.22,444.54,440.59,413.3,376.43,294.11,283.2,278.12,241.66,260.72,313.85,331.35,345.86,362.07,354.14,330.68,340.66,340,259.27,269.9,289.39,329.08,371.6,396.61,409.9,413.88,392.94,355.82,329.39,287.12,267.2,390.12,375.07,333.16,298.44,319.01,346.83,365.67
257.78,165.42,94.255,0,67.912,177.18,257.94,350.91,404.4,411.46,421.66,422.47,442.83,469.57,509.05,217.82,247.81,277.62,291.82,310.1,324.1,317.4,292.34,275.49,230.63,384.57,413.04,438.63,459.74,476.8,488.36,474.81,453.89,422.16,393.29,179.89,189.84,208.12,236.81,266.81,264.76,251.47,215.8,357.77,375.07,397.76,423.46,442.33,442.94,417.7,382.01,311.6,288.51,263.1,211.44,222.58,276.26,292.03,308.1,328.88,335.67,327.76,350.89,310.34,185.15,197.8,215.56,254.28,300.54,328.79,348.51,359.69,340.97,306.37,275.86,232.8,207.17,329.68,320.46,272.25,237.7,251.44,282.12,302.95
325.58,233.32,162.09,67.912,0,112.8,195.67,293.73,356.89,371.9,398.25,408.6,445.47,482.37,532.41,280.07,303.64,325.58,335.17,347.67,362.05,360.63,341.71,330.16,293.54,411.1,436.98,461.2,479.91,495.36,508.13,498.02,479.88,449.29,421.78,234.68,235.3,247.95,271.45,300.67,303.21,297.21,266.03,378.8,393.29,412.63,437.1,457.23,460.98,437.8,404,343.89,314.41,276.88,218.36,221.72,271.45,284.74,301.23,324.72,342.66,346.21,377.04,309.97,150.85,164.78,178.89,214.01,262.43,293.07,318.52,336.1,320.1,289.36,256.78,216.09,187.07,301.3,298.01,246.13,214.08,219.54,251.56,273.44
429.52,340.19,270.3,177.18,112.8,0,83.451,185.3,260.16,287.01,338.64,364.34,426.66,478.68,544.5,369.57,380.64,388.33,389.84,392.19,406.32,413.66,405.96,403.99,383.89,433.78,454,474.79,488.64,500.76,515.05,511.12,498.4,471.06,447.15,314.01,300.95,304.16,317.52,342.79,352.28,358.16,336.15,394.4,403.32,415.93,437.01,458.21,467,448.4,419.61,380.16,342.86,290.17,230.24,220.52,255.12,262.42,277.62,303.21,338.02,360,401.12,296.33,110.45,121.21,122.59,141.66,187.54,219.54,252.99,280.26,270.38,249.65,217.82,188.99,161.32,240.14,247.72,195.98,174.73,163.08,192.27,213.21
504.35,417.7,349.28,257.94,195.67,83.451,0,104.79,190.52,228.54,301.42,339,418.69,480.1,555.44,436.25,439.65,438.46,434.88,430.67,444.06,456.79,456.44,460.43,450.78,455.9,471.38,488.95,498.84,508.13,523.09,523.76,515.3,491.16,470.62,376.49,356.45,354.14,360.69,382.1,395.43,408.31,392.62,413.34,417.89,425.06,442.72,463.85,475.99,461.41,437.38,413.81,373.36,314.41,260,242.87,261.73,263.49,276.01,300.83,345.77,379.54,425.62,300.67,133.82,136.82,125.54,119.1,150.33,178.94,216.81,250.73,247.39,237.86,211.21,197.69,177.73,209.72,226.72,183.1,176.39,151.6,171.13,187.45
583.74,502.57,437.65,350.91,293.73,185.3,104.79,0,98.082,150.59,247.49,298.03,394.93,465.19,549.68,505.1,498.35,485.98,476.23,464.11,476,494.91,503.77,515.23,519.58,467.97,476.83,489.65,494.16,499.54,514.77,521.2,518.4,499.19,483.71,441.71,414,405.23,403.37,418.94,436.22,457.06,449.76,423.62,422.5,422.5,434.94,454.95,470.75,461.87,444.93,442.11,400.12,338.15,295.74,272.59,270.41,265.15,272.62,293.5,346.83,392.61,442.09,301.76,189.08,184.05,165.13,133.22,127.58,140.43,175.97,213.7,220.05,227.2,212.42,220.23,213.41,178.94,205.77,183.32,196.25,164.11,164.07,168.96
612.54,540.3,481.84,404.4,356.89,260.16,190.52,98.082,0,60,168.24,225.85,331.45,406.08,495.47,523.69,506.25,482.91,467.46,448.23,458.17,482.22,499.8,518.44,537.64,432.07,434.66,442.83,442.57,444.49,459.46,470.51,472.65,458.44,448.07,458.8,424.46,409.66,399.62,408.64,428.81,456.46,458.02,388.25,382.08,375.73,383.05,401.26,419.55,415.93,406.02,422.44,381.37,321.18,294.33,268.48,246.91,235.77,237.43,252.07,308.1,361.6,411.41,267.27,222.58,212.21,192.52,152.84,115.38,103.09,122.02,155.05,170.01,192.35,192.27,218.36,224.83,135.2,165.22,170,197.59,168.81,150.27,141.68
599.79,534.18,480.94,411.46,371.9,287.01,228.54,150.59,60,0,109.25,168.24,275.54,351.05,441.58,506.03,482.61,453.49,435.18,412.49,421.22,447.58,469.6,491.93,519.43,386.51,386.19,392.25,390.06,390.64,405.41,418.11,422.23,410.31,402.41,441.47,404,386.08,371.62,376.73,398.05,428.92,435.51,343.66,335.17,326,331.02,348.3,367.4,366.02,359.43,385.17,345.51,288.17,271.6,245.6,213.78,199.85,197.96,208.28,263.7,319.76,368.71,226.65,226.32,213.78,195.98,158.24,110.92,84.404,83.187,107.52,126.65,156.59,166.01,200.84,214.9,101.55,128.81,151.33,184.39,161.99,134.95,118.83
