0,1,3,4,7,3.1623,1,5.099,10.05,12.042,3.6056,2.2361,4.4721,7.2801,11.18,5.831,3.1623,3.6056,5.831,6.7082,9.4868,11.402,13.342,5,4,4.1231,10.77,12.649,14.56,15.524,7.8102,7.0711,5.3852,5,8.6023,9.434,11.18,12.083,13.928,15.811,9.2195,7.8102,6.3246,6.0828,6.7082,8.4853,10,10.817,13.416,15.232,17.088,9.8995,8.6023,7.2801,7.0711,10.63,12.207,13.892,10,9.434,10.63,12.042,15.264,17,9.8489,15,15.811,17.493,18.358,12.207,12.806,13.454,14.142,15.62,18.028,13.601,17.029,18.601,16.971,18.439,15.264,15.811,17.029,17.692,18.385,19.105,20.616,15.232,17.205,19.105,19.799,20.518,21.26,16.553,17,18.601,19.209,21.213,18.358,19.416,21.932,17.72,18.385,19.235,20.248,20.809,21.401,22.023,18.974,19.698,20.125,21.633,19.647,19.925,21.024,21.954,23.022,20.616,22.361,22.825,21.213,21.84,22.136,22.847,23.259,23.707,24.187,22.023,22.204,22.361,22.561,22.804,23.087,23.77,24.166,24.597,23.022,23.087,23.195,23.77,24.042,24.352,24.698,24,24.021,24.083,24.187,24.331,24.515,24.739,25.632,25.179,25.318,25.495,25.71,25.962,26.019,26.019,26.173,26.476,26.926,27.166,27.019,27.074,27.659,28.018,29.428,29.155,29.069,29.017,29.155,30.414,30.265,30.15,30.017,30.067,30.15,30.265,31.145,31,31.016,31.064,32.757,32.388,32.249,32.14,32,32.062,32.558,32.757,33.242,33.838,34.928,35.777,36.235,33.541,33.242,33.061,33,33.061,33.136,33.956,34.205,34.785,35.468,34.713,34.234,34.015,34.366,34.525,34.713,36.056,37.577,35.228,35.128,35.228,35.511,35.693,36.139,36.401,36.688,37,37.336,37.696,38.079,38.484,39.357,36.346,36.056,36.056,36.125,36.222,36.674,37.363,38.626,39,39.812,37.483,37.216,37.121,37.054,37,37.014,37.121,37.656,37.855,38.079,38.601,40.311,40.719
1,0,2,3,6,4.1231,1.4142,4.1231,9.0554,11.045,4.4721,2.8284,3.6056,6.3246,10.198,6.7082,3.6056,3.1623,5,5.831,8.544,10.44,12.369,5.6569,4.1231,4,9.8489,11.705,13.601,14.56,8.6023,7.8102,5.831,5.099,7.8102,8.6023,10.296,11.18,13,14.866,10,8.4853,6.7082,6,6.3246,7.8102,9.2195,10,12.53,14.318,16.155,10.63,9.2195,7.6158,7,9.8995,11.402,13.038,10.63,10,10,11.314,14.422,16.125,10.296,14.213,15,16.643,17.493,11.662,12.207,12.806,13.454,14.866,17.205,13.038,16.279,17.804,16.279,17.692,14.765,15.264,16.401,17.029,17.692,18.385,19.849,14.866,16.643,18.439,19.105,19.799,20.518,16.155,16.553,18.028,18.601,20.518,17.889,18.868,21.26,17.464,18.028,18.788,19.723,20.248,20.809,21.401,18.682,19.313,19.698,21.095,19.416,19.647,20.616,21.471,22.472,20.396,21.932,22.361,21.095,21.587,21.84,22.472,22.847,23.259,23.707,22,22.091,22.204,22.361,22.561,22.804,23.409,23.77,24.166,23,23.022,23.087,23.537,23.77,24.042,24.352,24.021,24,24.021,24.083,24.187,24.331,24.515,25.298,25.08,25.179,25.318,25.495,25.71,26.077,26,26.077,26.306,26.683,27.295,27.074,27.019,27.459,28.071,29.614,29.275,29.155,29.069,29.069,30.594,30.414,30.265,30,30.017,30.067,30.15,31.257,31.016,31,31.016,32.985,32.558,32.388,32.249,32.016,32.016,32.388,32.558,32.985,33.526,34.54,35.341,35.777,33.734,33.377,33.136,33.015,33.015,33.061,33.734,33.956,34.482,35.114,34.928,34.366,34,34.234,34.366,34.525,35.735,37.162,35.355,35.228,35.128,35.355,35.511,35.903,36.139,36.401,36.688,37,37.336,37.696,38.079,38.91,36.497,36.125,36.014,36.056,36.125,36.497,37.108,38.275,38.626,39.395,37.656,37.336,37.216,37.121,37.014,37,37.054,37.483,37.656,37.855,38.328,39.925,40.311
3,2,0,1,4,6.0828,3.1623,2.2361,7.0711,9.0554,6.3246,4.4721,2.2361,4.4721,8.2462,8.544,5,3.1623,3.6056,4.2426,6.7082,8.544,10.44,7.2111,5,4.4721,8.0623,9.8489,11.705,12.649,10.296,9.434,7.0711,5.831,6.4031,7.0711,8.6023,9.434,11.18,13,11.662,10,7.8102,6.3246,6,6.7082,7.8102,8.4853,10.817,12.53,14.318,12.207,10.63,8.6023,7.2801,8.6023,9.8995,11.402,12.042,11.314,8.9443,10,12.806,14.422,11.402,12.728,13.454,15,15.811,10.77,11.18,11.662,12.207,13.454,15.62,12.083,14.866,16.279,15,16.279,13.928,14.318,15.264,15.811,16.401,17.029,18.385,14.318,15.652,17.205,17.804,18.439,19.105,15.524,15.811,17,17.493,19.209,17.088,17.889,20,17.117,17.464,18.028,18.788,19.235,19.723,20.248,18.248,18.682,18.974,20.125,19.105,19.235,19.925,20.616,21.471,20.1,21.19,21.541,21,21.213,21.378,21.84,22.136,22.472,22.847,22.091,22,22.023,22.091,22.204,22.361,22.804,23.087,23.409,23.087,23.022,23,23.195,23.345,23.537,23.77,24.187,24.083,24.021,24,24.021,24.083,24.187,24.739,25,25.02,25.08,25.179,25.318,26.306,26.077,26,26.077,26.306,27.659,27.295,27.019,27.166,28.284,30.083,29.614,29.428,29.275,29,31.048,30.806,30.594,30.067,30.017,30,30.017,31.575,31.145,31.064,31.016,33.526,32.985,32.757,32.558,32.14,32.016,32.14,32.249,32.558,32.985,33.838,34.54,34.928,34.205,33.734,33.377,33.136,33.015,33,33.377,33.541,33.956,34.482,35.44,34.713,34.059,34.059,34.132,34.234,35.171,36.401,35.693,35.511,35.014,35.128,35.228,35.511,35.693,35.903,36.139,36.401,36.688,37,37.336,38.079,36.878,36.346,36.014,36,36.014,36.222,36.674,37.643,37.947,38.626,38.079,37.656,37.483,37.336,37.121,37.054,37,37.216,37.336,37.483,37.855,39.217,39.56
4,3,1,0,3,7.0711,4.1231,1.4142,6.0828,8.0623,7.2801,5.3852,2,3.6056,7.2801,9.4868,5.831,3.6056,3.1623,3.6056,5.831,7.6158,9.4868,8.0623,5.6569,5,7.2111,8.9443,10.77,11.705,11.18,10.296,7.8102,6.4031,5.831,6.4031,7.8102,8.6023,10.296,12.083,12.53,10.817,8.4853,6.7082,6.0828,6.3246,7.2111,7.8102,10,11.662,13.416,13.038,11.402,9.2195,7.6158,8.0623,9.2195,10.63,12.806,12.042,8.544,9.434,12.042,13.601,12.042,12.042,12.728,14.213,15,10.44,10.77,11.18,11.662,12.806,14.866,11.705,14.213,15.556,14.422,15.62,13.601,13.928,14.765,15.264,15.811,16.401,17.692,14.142,15.232,16.643,17.205,17.804,18.439,15.297,15.524,16.553,17,18.601,16.763,17.464,19.416,17.029,17.263,17.72,18.385,18.788,19.235,19.723,18.111,18.439,18.682,19.698,19.026,19.105,19.647,20.248,21.024,20.025,20.881,21.19,21.024,21.095,21.213,21.587,21.84,22.136,22.472,22.204,22.023,22,22.023,22.091,22.204,22.561,22.804,23.087,23.195,23.087,23.022,23.087,23.195,23.345,23.537,24.331,24.187,24.083,24.021,24,24.021,24.083,24.515,25.02,25,25.02,25.08,25.179,26.476,26.173,26.019,26.019,26.173,27.893,27.459,27.074,27.074,28.443,30.364,29.833,29.614,29.428,29.017,31.321,31.048,30.806,30.15,30.067,30.017,30,31.78,31.257,31.145,31.064,33.838,33.242,32.985,32.757,32.249,32.062,32.062,32.14,32.388,32.757,33.526,34.176,34.54,34.482,33.956,33.541,33.242,33.061,33.015,33.242,33.377,33.734,34.205,35.735,34.928,34.132,34.015,34.059,34.132,34.928,36.056,35.903,35.693,35,35.057,35.128,35.355,35.511,35.693,35.903,36.139,36.401,36.688,37,37.696,37.108,36.497,36.056,36.014,36,36.125,36.497,37.363,37.643,38.275,38.328,37.855,37.656,37.483,37.216,37.121,37.014,37.121,37.216,37.336,37.656,38.897,39.217
7,6,4,3,0,10.05,7.0711,2.2361,3.1623,5.099,10.198,8.2462,3.6056,2,4.4721,12.369,8.544,5.831,3.6056,3.1623,3.6056,5,6.7082,10.77,8.0623,7.2111,5,6.4031,8.0623,8.9443,13.928,13,10.296,8.6023,5,5.099,5.831,6.4031,7.8102,9.434,15.232,13.416,10.817,8.4853,7.2111,6.0828,6.0828,6.3246,7.8102,9.2195,10.817,15.652,13.892,11.402,9.2195,7.0711,7.6158,8.6023,15.264,14.422,8,8.2462,10,11.314,14.213,10.296,10.817,12.042,12.728,10,10.05,10.198,10.44,11.18,12.806,11.045,12.53,13.601,13,13.892,13.038,13.153,13.601,13.928,14.318,14.765,15.811,14.036,14.318,15.232,15.652,16.125,16.643,15,15.033,15.524,15.811,17,16.125,16.492,17.889,17.117,17,17.117,17.464,17.72,18.028,18.385,18.028,18.028,18.111,18.682,19.105,19.026,19.105,19.416,19.925,20.1,20.224,20.396,21.378,21.024,21,21.095,21.213,21.378,21.587,22.804,22.361,22.204,22.091,22.023,22,22.091,22.204,22.361,23.77,23.537,23.345,23.022,23,23.022,23.087,25,24.739,24.515,24.331,24.187,24.083,24.021,24.083,25.318,25.179,25.08,25.02,25,27.203,26.683,26.306,26.077,26,28.792,28.16,27.459,27.019,29.12,31.385,30.676,30.364,30.083,29.275,32.311,31.953,31.623,30.594,30.414,30.265,30.15,32.573,31.78,31.575,31.401,34.928,34.176,33.838,33.526,32.757,32.388,32.016,32,32.062,32.249,32.757,33.242,33.526,35.468,34.785,34.205,33.734,33.377,33.242,33.015,33.061,33.242,33.541,36.77,35.735,34.525,34.059,34.015,34,34.366,35.171,36.688,36.401,35.128,35.014,35,35.057,35.128,35.228,35.355,35.511,35.693,35.903,36.139,36.688,37.947,37.108,36.346,36.222,36.125,36,36.125,36.674,36.878,37.363,39.217,38.601,38.328,38.079,37.656,37.483,37.216,37,37.014,37.054,37.216,38.079,38.328
3.1623,4.1231,6.0828,7.0711,10.05,0,3,8,13,15,1,2.2361,7.0711,10.05,14.036,2.8284,2.8284,5.3852,8.2462,9.2195,12.166,14.142,16.125,3,4.2426,5,13.342,15.297,17.263,18.248,5,4.4721,4.1231,5,10.77,11.705,13.601,14.56,16.492,18.439,6.4031,5.3852,5.099,6.4031,7.8102,10.296,12.083,13,15.811,17.72,19.647,7.2111,6.3246,6.0828,7.2111,12.53,14.318,16.155,7.6158,7.2801,12.207,13.892,17.464,19.313,8.0623,17,17.889,19.698,20.616,13.454,14.213,15,15.811,17.493,20.125,14.866,18.868,20.591,18.601,20.248,16.279,16.971,18.439,19.209,20,20.809,22.472,15.811,18.385,20.616,21.401,22.204,23.022,17.205,17.804,19.799,20.518,22.804,19.209,20.518,23.431,17.889,18.868,20,21.26,21.932,22.627,23.345,19.235,20.248,20.809,22.672,19.698,20.125,21.633,22.804,24.083,20.616,23.022,23.601,20.881,21.932,22.361,23.324,23.854,24.413,25,21.378,21.84,22.136,22.472,22.847,23.259,24.187,24.698,25.239,22.361,22.561,22.804,23.77,24.166,24.597,25.06,23.195,23.345,23.537,23.77,24.042,24.352,24.698,25.942,24.739,25,25.298,25.632,26,25.08,25.318,25.71,26.249,26.926,26,26.077,26.476,27.514,27.074,28.071,28,28.018,28.071,28.636,29.069,29.017,29,29.275,29.428,29.614,29.833,30,30.15,30.265,30.414,31.257,31.064,31.016,31,31.145,31.401,32.28,32.573,33.242,34.015,35.355,36.359,36.892,32.14,32.016,32.016,32.14,32.388,32.558,33.838,34.176,34.928,35.777,33.242,33.015,33.242,33.956,34.205,34.482,36.249,38.079,34.015,34,34.713,35.171,35.44,36.056,36.401,36.77,37.162,37.577,38.013,38.471,38.949,39.962,35.057,35.014,35.355,35.511,35.693,36.401,37.336,38.91,39.357,40.311,36.125,36.014,36,36.014,36.125,36.222,36.497,37.363,37.643,37.947,38.626,40.706,41.183
1,1.4142,3.1623,4.1231,7.0711,3,0,5,10,12,3.1623,1.4142,4.1231,7.0711,11.045,5.3852,2.2361,2.8284,5.3852,6.3246,9.2195,11.18,13.153,4.2426,3,3.1623,10.44,12.369,14.318,15.297,7.2111,6.4031,4.4721,4,8.0623,8.9443,10.77,11.705,13.601,15.524,8.6023,7.0711,5.3852,5.099,5.831,7.8102,9.434,10.296,13,14.866,16.763,9.2195,7.8102,6.3246,6.0828,10,11.662,13.416,9.2195,8.6023,9.8995,11.402,14.765,16.553,8.9443,14.422,15.264,17,17.889,11.402,12.042,12.728,13.454,15,17.493,12.806,16.401,18.028,16.279,17.804,14.422,15,16.279,16.971,17.692,18.439,20,14.318,16.401,18.385,19.105,19.849,20.616,15.652,16.125,17.804,18.439,20.518,17.493,18.601,21.213,16.763,17.464,18.358,19.416,20,20.616,21.26,18.028,18.788,19.235,20.809,18.682,18.974,20.125,21.095,22.204,19.647,21.471,21.954,20.224,20.881,21.19,21.932,22.361,22.825,23.324,21.024,21.213,21.378,21.587,21.84,22.136,22.847,23.259,23.707,22.023,22.091,22.204,22.804,23.087,23.409,23.77,23,23.022,23.087,23.195,23.345,23.537,23.77,24.698,24.187,24.331,24.515,24.739,25,25.02,25.02,25.179,25.495,25.962,26.173,26.019,26.077,26.683,27.019,28.443,28.16,28.071,28.018,28.16,29.428,29.275,29.155,29.017,29.069,29.155,29.275,30.15,30,30.017,30.067,31.78,31.401,31.257,31.145,31,31.064,31.575,31.78,32.28,32.894,34.015,34.886,35.355,32.558,32.249,32.062,32,32.062,32.14,32.985,33.242,33.838,34.54,33.734,33.242,33.015,33.377,33.541,33.734,35.114,36.674,34.234,34.132,34.234,34.525,34.713,35.171,35.44,35.735,36.056,36.401,36.77,37.162,37.577,38.471,35.355,35.057,35.057,35.128,35.228,35.693,36.401,37.696,38.079,38.91,36.497,36.222,36.125,36.056,36,36.014,36.125,36.674,36.878,37.108,37.643,39.395,39.812
5.099,4.1231,2.2361,1.4142,2.2361,8,5,0,5,7,8.0623,6.0828,1.4142,2.2361,6.0828,10.198,6.3246,3.6056,2,2.2361,4.4721,6.3246,8.2462,8.544,5.831,5,5.831,7.6158,9.4868,10.44,11.705,10.77,8.0623,6.4031,4.4721,5,6.4031,7.2111,8.9443,10.77,13,11.18,8.6023,6.4031,5.3852,5.099,5.831,6.4031,8.6023,10.296,12.083,13.416,11.662,9.2195,7.2111,6.7082,7.8102,9.2195,13.038,12.207,7.2801,8.0623,10.63,12.207,12.042,10.63,11.314,12.806,13.601,9.2195,9.4868,9.8489,10.296,11.402,13.454,10.44,12.806,14.142,13.038,14.213,12.369,12.649,13.416,13.892,14.422,15,16.279,13.038,13.928,15.264,15.811,16.401,17.029,14.142,14.318,15.232,15.652,17.205,15.524,16.155,18.028,16,16.125,16.492,17.088,17.464,17.889,18.358,17.029,17.263,17.464,18.385,18,18.028,18.439,18.974,19.698,19,19.647,19.925,20.1,20.025,20.1,20.396,20.616,20.881,21.19,21.378,21.095,21.024,21,21.024,21.095,21.378,21.587,21.84,22.361,22.204,22.091,22.023,22.091,22.204,22.361,23.537,23.345,23.195,23.087,23.022,23,23.022,23.345,24.083,24.021,24,24.021,24.083,25.71,25.318,25.08,25,25.08,27.203,26.683,26.173,26.019,27.659,29.732,29.12,28.862,28.636,28.071,30.676,30.364,30.083,29.275,29.155,29.069,29.017,31.048,30.414,30.265,30.15,33.242,32.573,32.28,32.016,31.401,31.145,31.016,31.064,31.257,31.575,32.28,32.894,33.242,33.838,33.242,32.757,32.388,32.14,32.062,32.14,32.249,32.558,32.985,35.114,34.205,33.242,33,33.015,33.061,33.734,34.785,35.171,34.928,34.015,34.015,34.059,34.234,34.366,34.525,34.713,34.928,35.171,35.44,35.735,36.401,36.401,35.693,35.128,35.057,35.014,35.057,35.355,36.139,36.401,37,37.643,37.108,36.878,36.674,36.346,36.222,36.056,36.056,36.125,36.222,36.497,37.643,37.947
10.05,9.0554,7.0711,6.0828,3.1623,13,10,5,0,2,13.038,11.045,6.0828,3.1623,1.4142,15.133,11.18,8.2462,5.3852,4.4721,2.2361,2.2361,3.6056,13.342,10.44,9.4868,3,3.6056,5,5.831,16.492,15.524,12.649,10.77,5,4.4721,4,4.1231,5,6.4031,17.72,15.811,13,10.296,8.6023,6.4031,5.3852,5.099,5.3852,6.4031,7.8102,18.028,16.155,13.416,10.817,6.3246,6,6.3246,17.464,16.553,7.6158,7.0711,7.6158,8.6023,16.125,8.2462,8.544,9.434,10,9.4868,9.2195,9.0554,9,9.2195,10.296,10.198,10.44,11.18,11.18,11.705,12.166,12.042,12.042,12.166,12.369,12.649,13.416,13.601,13,13.342,13.601,13.928,14.318,14.318,14.142,14.036,14.142,14.866,15.033,15.033,15.811,16.763,16.279,16.031,16.031,16.125,16.279,16.492,17.464,17.117,17.029,17.117,18.682,18.439,18.028,18.028,18.248,19.647,19,19.026,21.19,20.396,20.224,20.025,20,20.025,20.1,22.847,22.136,21.84,21.587,21.378,21.213,21.024,21,21.024,23.77,23.409,23.087,22.361,22.204,22.091,22.023,25.08,24.698,24.352,24.042,23.77,23.537,23.345,23.022,25,24.739,24.515,24.331,24.187,27.313,26.571,25.962,25.495,25.179,29.069,28.231,27.203,26.306,29.155,31.765,30.871,30.463,30.083,28.862,32.65,32.202,31.78,30.364,30.083,29.833,29.614,32.696,31.623,31.321,31.048,35.355,34.438,34.015,33.615,32.573,32.016,31.257,31.145,31.016,31.016,31.257,31.575,31.78,35.777,34.928,34.176,33.526,32.985,32.757,32.062,32.016,32.016,32.14,37.121,35.847,34.205,33.377,33.242,33.136,33.061,33.541,36.77,36.401,34.525,34.234,34.132,34.015,34,34.015,34.059,34.132,34.234,34.366,34.525,34.928,38.079,37,35.903,35.693,35.511,35.128,35,35.228,35.355,35.693,39.395,38.626,38.275,37.947,37.363,37.108,36.674,36.125,36.056,36.014,36.014,36.497,36.674
12.042,11.045,9.0554,8.0623,5.099,15,12,7,2,0,15.033,13.038,8.0623,5.099,1.4142,17.117,13.153,10.198,7.2801,6.3246,3.6056,2.2361,2.2361,15.297,12.369,11.402,3.6056,3,3.6056,4.2426,18.439,17.464,14.56,12.649,6.4031,5.6569,4.4721,4.1231,4.1231,5,19.647,17.72,14.866,12.083,10.296,7.8102,6.4031,5.831,5,5.3852,6.4031,19.925,18.028,15.232,12.53,7.2111,6.3246,6,19.313,18.385,8.6023,7.6158,7.0711,7.6158,17.889,8,8.0623,8.544,8.9443,10.296,9.8489,9.4868,9.2195,9,9.4868,10.77,10.05,10.44,11,11.18,12.649,12.369,12.042,12,12.042,12.166,12.649,14.318,13.153,13.038,13.153,13.342,13.601,14.866,14.56,14.036,14,14.318,15.297,15.033,15.297,17.464,16.763,16.279,16.031,16,16.031,16.125,18.028,17.464,17.263,17,19.313,18.974,18.248,18.028,18.028,20.248,19.105,19.026,21.932,20.881,20.616,20.224,20.1,20.025,20,23.707,22.847,22.472,22.136,21.84,21.587,21.213,21.095,21.024,24.597,24.166,23.77,22.804,22.561,22.361,22.204,25.942,25.495,25.08,24.698,24.352,24.042,23.77,23.195,25.632,25.298,25,24.739,24.515,28.178,27.313,26.571,25.962,25.495,30.017,29.069,27.857,26.683,29.967,32.757,31.765,31.305,30.871,29.411,33.615,33.121,32.65,31.016,30.676,30.364,30.083,33.541,32.311,31.953,31.623,36.359,35.355,34.886,34.438,33.242,32.573,31.575,31.401,31.145,31.016,31.064,31.257,31.401,36.715,35.777,34.928,34.176,33.526,33.242,32.249,32.14,32.016,32.016,38.079,36.674,34.785,33.734,33.541,33.377,33,33.242,37.577,37.162,34.928,34.525,34.366,34.132,34.059,34.015,34,34.015,34.059,34.132,34.234,34.525,38.91,37.696,36.401,36.139,35.903,35.355,35.057,35.057,35.128,35.355,40.249,39.395,39,38.626,37.947,37.643,37.108,36.346,36.222,36.125,36.014,36.222,36.346
